Auburn Dental - Benco Purchase History Report
Report Period: 2025-01-01 to 2025-12-31
,,,,,,,,
Item #,Description,Manufacturer,Mfg Item #,Qty Ordered,Unit Price,Extended Price,Category,Notes
BEN-10045,Nitrile Exam Gloves Medium PF Blue 100/bx,Ansell,93-311-MD,48,12.95,622.00,Gloves,
BEN-10046,Nitrile Exam Gloves Large PF Blue 100/bx,Ansell,93-311-LG,36,12.95,466.20,Gloves,
BEN-10047,Nitrile Gloves Small Blue Powder Free,Ansell,93-311-SM,24,12.95,310.80,Gloves,
BEN-10048,Latex Examination Gloves Medium PF 100/box,Cranberry,CRA-GL-101-M,12,11.50,138.00,Gloves,
BEN-20011,Earloop Mask Blue Level 3 50/bx,Crosstex,GCBL-L3,60,11.25,675.00,Masks,
BEN-20012,Earloop Face Mask Level 1 Blue 50/bx,Crosstex,GCBL-L1,24,8.50,204.00,Masks,
BEN-20015,Procedural Mask Green Level 3,Crosstex,GCGN-L3,12,11.25,135.00,Masks,
BEN-30001,Lidocaine 2% w/ Epi 1:100000 50/box,Septodont,0010011,24,48.50,1164.00,Anesthetics,
BEN-30002,Lidocaine 2% Plain 50/box,Septodont,0010021,6,44.00,264.00,Anesthetics,
BEN-30003,Septocaine 4% w/ Epi 1:100000 50/bx,Septodont,1000411,18,59.00,1062.00,Anesthetics,
BEN-30004,Mepivacaine 3% Plain 50/box,Septodont,0030031,12,45.50,546.00,Anesthetics,
BEN-40001,Cotton Rolls #2 Medium 2000/case,Patterson,007-1234,12,24.50,294.00,Cotton,
BEN-40002,Cotton Rolls #1 Small 2000/case,Patterson,007-1235,6,23.50,141.00,Cotton,
BEN-50001,Gauze 2x2 Non-Sterile 8-ply 200/bg,Medline,G21088H,36,6.25,225.00,Gauze,
BEN-50002,Gauze Sponge 4x4 Non-Sterile 200/bg,Medline,G44088H,24,9.75,234.00,Gauze,
BEN-60001,Dental Needles 27 gauge Short 100/bx,Septodont,NDL-27S-100,18,21.00,378.00,Needles,
BEN-60002,Needles 30 Gauge Short 100/bx,Septodont,NDL-30S-100,12,21.00,252.00,Needles,
BEN-60003,Needles 27G Long 100/bx,Septodont,NDL-27L-100,6,21.00,126.00,Needles,
BEN-70001,Carbide Bur #330 FG 10/pk,SS White,330-10PK,24,15.50,372.00,Burs,
BEN-70002,Carbide Bur 557 FG 10/pack,SS White,557-10PK,18,15.50,279.00,Burs,
BEN-70003,FG Carbide Bur Number 245 10pk,SS White,245-10PK,12,15.50,186.00,Burs,
BEN-80001,VPS Impression Heavy Body 50ml,Dentsply,PVSHB-50,12,24.75,297.00,Impression,
BEN-80002,Vinyl Polysiloxane Light Body 50mL Cartridge,Dentsply,PVSLB-50,12,22.50,270.00,Impression,
BEN-90001,Composite A2 Shade 4g Syringe,3M ESPE,4630A2,24,32.00,768.00,Composites,
BEN-90002,Composite Resin A3 4 gram syringe,3M ESPE,4630A3,18,32.00,576.00,Composites,
BEN-90003,3M Filtek Composite B2 4g,3M ESPE,4630B2,12,32.00,384.00,Composites,
BEN-11001,Barrier Film Roll Refill 1200 sheets,Crosstex,BFDRL,12,24.00,288.00,Infection Control,
BEN-11002,Surface Disinfectant Wipes 160 ct,PDI,Q55172,24,15.50,372.00,Infection Control,
BEN-12001,Saliva Ejectors White 100/bag,Patterson,PAT-SE-100,24,8.75,210.00,Evacuation,
BEN-12002,HVE Tips Vented 100/bag,Patterson,PAT-HVE-100,18,9.50,171.00,Evacuation,
BEN-13001,Prophy Paste Medium Grit Bubblegum 200/box,Young Innovations,3040-200,12,32.00,384.00,Preventive,
BEN-13002,Prophy Cups Soft Snap-On 100/bag,Young Innovations,YDC-100,24,8.00,192.00,Preventive,
BEN-UNKN01,AdheSE Universal Bonding Agent 5mL,Ivoclar,668251,6,65.00,390.00,Bonding,Not in SC catalog
BEN-UNKN02,Isolite System Mouthpiece Medium,Zyris,IMS-MDM,12,18.00,216.00,Isolation,Not in SC catalog
