Henry Schein Detailed Items Report
Account: Auburn Dental
Period: 2025-01-01 to 2025-12-31
Report generated for price comparison
,,,,,,
Item Number,Description,Manufacturer,Manufacturer Item Number,Quantity,Unit Price,Total
HS-441023,Nitrile Exam Glove PF Medium 100/bx,Ansell,93-311-MD,48,$11.20,$537.60
HS-441024,Nitrile Exam Glove PF Large 100/bx,Ansell,93-311-LG,36,$11.20,$403.20
HS-441025,Nitrile Exam Glove PF Small 100/bx,Ansell,93-311-SM,24,$11.20,$268.80
HS-441088,Latex Exam Glove PF Medium 100/bx,Cranberry,CRA-GL-101-M,12,$13.10,$157.20
HS-552011,Earloop Mask Level 3 Blue 50/bx,Crosstex,GCBL-L3,60,$9.80,$588.00
HS-552012,Earloop Mask Level 1 Blue 50/bx,Crosstex,GCBL-L1,24,$9.10,$218.40
HS-663001,Lidocaine 2% Epi 1:100k 50/bx,Septodont,0010011,24,$44.00,$1056.00
HS-771045,Prophy Paste Medium Mint 200/bx,Young,YDP-MED-200,30,$28.50,$855.00
HS-882033,Cotton Roll #2 Medium 2000/bx,Richmond,RCH-CR2-2000,20,$16.80,$336.00
HS-993012,Saliva Ejector Clear 100/bg,Crosstex,SE-CLR-100,40,$3.20,$128.00
