SYSCO PURCHASE HISTORY
Customer: Bistro 24
Customer Number: 7782411
Date Range: 01/01/2025 - 12/31/2025

SUPC,Item Description,Brand,Mfr Item,Cases,Price/Case,Total,Pack Size
SYS-2210445,CANOLA OIL JUG,STRATAS,CAN-35,28,$42.00,"$1,176.00",35 LB
SYS-2210892,OLIVE OIL XV TIN,POMPEIAN,EVOO-3L,12,$36.00,$432.00,3 L
SYS-3310012,FLOUR ALL PURPOSE,GENERAL MILLS,GM-AP-50,40,$25.00,"$1,000.00",50 LB
SYS-3310445,SUGAR GRANULATED,DOMINO,DOM-GR-50,22,$42.00,$924.00,50 LB
SYS-3311208,RICE LONG GRAIN,RICELAND,RL-LG-25,35,$21.00,$735.00,25 LB
SYS-3315567,PASTA PENNE,BARILLA,BAR-PEN-20,18,$27.00,$486.00,20 LB CS
SYS-4410023,TOMATO CRUSHED #10,STANISLAUS,STAN-CR-6,45,$36.00,"$1,620.00",6/#10 CAN
SYS-4410089,TOMATO PASTE #10,STANISLAUS,STAN-PST-6,30,$42.00,"$1,260.00",6/#10 CAN
SYS-4410334,BEANS BLACK #10,BUSH,BSH-BLK-6,28,$32.00,$896.00,6/#10 CAN
SYS-5510445,CHICKEN BREAST BNLS,TYSON,TY-CB-40,55,$132.00,"$7,260.00",40 LB CS
SYS-5510892,GROUND BEEF 80/20,CARGILL,CAR-GB-40,48,$172.00,"$8,256.00",40 LB CS
SYS-5511203,PORK LOIN BNLS,SMITHFIELD,SM-PL-30,30,$112.00,"$3,360.00",30 LB CS
SYS-6610012,SHRIMP 21/25 CT,SEA BEST,SB-SH-5,40,$78.00,"$3,120.00",5 LB BAG
SYS-6610445,SALMON FILLET,TRIDENT,TR-SAL-10,22,$158.00,"$3,476.00",10 LB CS
SYS-7710089,MOZZARELLA SHRED,GALBANI,GAL-MOZ-30,50,$112.00,"$5,600.00",30 LB CS
SYS-7710334,CHEDDAR BLOCK,TILLAMOOK,TIL-CHED-20,35,$92.00,"$3,220.00",20 LB CS
SYS-7711208,BUTTER SOLIDS,LAND O LAKES,LOL-BT-30,28,$132.00,"$3,696.00",30 LB CS
SYS-7712445,EGGS LARGE,CAL-MAINE,CM-LG-15,60,$48.00,"$2,880.00",15 DOZ
SYS-7713012,MILK WHOLE GAL,BORDEN,BOR-WM-4,80,$18.00,"$1,440.00",4/1 GAL
SYS-8810445,LETTUCE ROMAINE,TAYLOR FARMS,TF-ROM-24,45,$32.00,"$1,440.00",24 CT
SYS-8810892,TOMATO ROMA,FRESH POINT,FP-TOM-25,40,$28.00,"$1,120.00",25 LB
SYS-8811203,ONION YELLOW JUMBO,GILLS,GIL-ON-50,35,$26.00,$910.00,50 LB BAG
SYS-8811556,POTATO RUSSET,IDAHO,ID-POT-50,42,$32.00,"$1,344.00",50 LB BAG
SYS-2211089,FRYER SHORTENING,STRATAS,SHT-35,36,$48.00,"$1,728.00",35 LB CUBE
SYS-9910012,NAPKIN DINNER,GEORGIA-PACIFIC,GP-NAP-3000,40,$42.00,"$1,680.00",3000 CT
SYS-9910445,CUP PAPER 16OZ,DART,DART-16-1000,55,$58.00,"$3,190.00",1000 CT
SYS-9910892,GLOVE NITRILE PF,AMMEX,AMX-NIT-1000,65,$74.00,"$4,810.00",1000 CT
SYS-9911203,FOIL ALUM 18IN,REYNOLDS,REY-18-1000,30,$48.00,"$1,440.00",1000 FT ROLL
SYS-1010445,DEGREASER CONC,ECOLAB,ECO-DG-4,58,$64.00,"$3,712.00",4/1 GAL
SYS-1010892,SANITIZER SOLUTION,ECOLAB,ECO-SAN-5,48,$54.00,"$2,592.00",5 GAL PAIL
