VSP / Essilor Order History
Practice: ClearView Optical
Practice ID: VSP-44821
Period: 2025 Annual
,,,,,,,
Product Code,Product Description,Brand,Mfr Code,Units,Unit Cost,Total Cost,Pack
VSP-CL10045,Acuvue Oasys 6pk 2-Week,Johnson & Johnson,AOH-6,120,$31.00,"$3,720.00",6/box
VSP-CL10088,Biofinity 6pk Monthly,CooperVision,BIO-6,95,$35.50,"$3,372.50",6/box
VSP-CL10120,Dailies Total 1 90pk,Alcon,DT1-90,60,$74.00,"$4,440.00",90/box
VSP-CL10135,Air Optix Plus 90pk,Alcon,AOP-90,48,$78.00,"$3,744.00",90/box
VSP-CL10150,MyDay Daily 90pk,CooperVision,MYD-90,55,$70.00,"$3,850.00",90/box
VSP-LN20011,Single Vision CR-39 Pair,Essilor,SV-CR39,340,$10.50,"$3,570.00",pair
VSP-LN20025,Single Vision Poly Pair,Essilor,SV-POLY,220,$17.00,"$3,740.00",pair
VSP-LN20088,Progressive 1.67 HI Pair,Essilor,PRG-167,85,$78.00,"$6,630.00",pair
VSP-LN20120,Varilux X Progressive Pair,Essilor,VAR-X,45,$158.00,"$7,110.00",pair
VSP-CT30011,Crizal Sapphire AR Coating,Essilor,CRZ-SAP,180,$44.00,"$7,920.00",pair
VSP-CT30025,Transitions Gen 8,Transitions,TR-G8,95,$68.00,"$6,460.00",pair
VSP-FR40011,Ray-Ban Wayfarer 2140,Luxottica,RB2140,65,$92.00,"$5,980.00",each
VSP-FR40025,Oakley Sport 9208,Luxottica,OAK9208,40,$112.00,"$4,480.00",each
VSP-FR40088,Flexible Titanium Frame,Marchon,FLX-TI,80,$48.00,"$3,840.00",each
VSP-FR40099,Kids Flexible Frame,Marchon,KID-FX,120,$22.00,"$2,640.00",each
VSP-SL50011,Opti-Free PureMoist 10oz,Alcon,OPF-12,40,$78.00,"$3,120.00",12/case
VSP-SL50025,Biotrue Multi-Purpose 10oz,Bausch & Lomb,BIO-12,35,$72.00,"$2,520.00",12/case
VSP-SL50088,Clear Care H2O2 12oz,Alcon,CC-24,28,$112.00,"$3,136.00",24/case
VSP-DR60011,Systane Ultra Drops,Alcon,SYS-24,30,$158.00,"$4,740.00",24/case
VSP-DR60025,Refresh Tears 0.5oz,Allergan,REF-24,25,$142.00,"$3,550.00",24/case
VSP-DG70011,Fluorescein Strips 100pk,Bausch & Lomb,FLU-100,18,$16.00,$288.00,100/box
VSP-DG70025,Tropicamide 1% 15mL,Akorn,TRO-15,22,$21.00,$462.00,25/bottle
VSP-AC80011,Contact Lens Cases 50pk,Menicon,CLC-50,30,$14.00,$420.00,50/bag
VSP-AC80025,Microfiber Cloth 100pk,Hilco,MF-100,40,$36.00,"$1,440.00",100/box
VSP-AC80088,Lens Cleaning Spray 2oz,Hilco,LCS-24,55,$48.00,"$2,640.00",24/case
VSP-AC80099,Eyeglass Cord 50pk,Hilco,ECR-50,35,$21.00,$735.00,50/bag
VSP-DS90011,Chin Rest Tissue 500pk,Reichert,CRT-500,40,$10.00,$400.00,500/box
VSP-DS90025,Tonometer Tips 200pk,Reichert,TON-200,28,$78.00,"$2,184.00",200/box
VSP-DS90088,Lens Wipes 600ct,Zeiss,LW-600,45,$28.00,"$1,260.00",600/box
VSP-EQ99011,Custom Lab Equipment Service,Various,,1,$450.00,$450.00,each
