Henry Schein Dental - Detailed Purchased Items Report
Account: Demit Dental Group
Report Date: 12/31/2025
Period: 01/01/2025 - 12/31/2025
,,,,,,,,
Item Number,Description,Manufacturer,Manufacturer Item Number,Quantity,Unit Price,Total,Department,Order Date
1143576,NITRILE EXAM GLOVES MED BLUE PF CS/10BX 100/BX,ANSELL HEALTHCARE,93-311-MD,5,118.00,590.00,Clinical,2025-01-15
1143577,NITRILE GLOVES LARGE BLUE PF CS/10BX,ANSELL HEALTHCARE,93-311-LG,4,118.00,472.00,Clinical,2025-01-15
1143578,NITRILE GLOVES XLARGE BLUE PF 100/BX,ANSELL HEALTHCARE,93-311-XL,2,12.95,25.90,Clinical,2025-02-10
1143580,LATEX EXAM GLOVES MED PF 100/BOX,CRANBERRY USA,CRA-GL-101-M,3,11.50,34.50,Clinical,2025-01-15
9902345,FACE MASK LEVEL 3 EARLOOP BLUE 50/BX,CROSSTEX INTERNATIONAL,GCBL-L3,24,11.95,286.80,Clinical,2025-01-20
9902344,FACE MASK LEVEL 2 BLUE EARLOOP 50/BOX,CROSSTEX INTERNATIONAL,GCBL-L2,12,10.50,126.00,Clinical,2025-01-20
9902346,MASK LEVEL 1 EARLOOP BLUE BOX OF 50,CROSSTEX,GCBL-L1,6,8.95,53.70,Clinical,2025-03-15
1456789,LIDOCAINE HCL 2% 1:100 000 EPI 50 CARP/BX,SEPTODONT,0010011,12,52.00,624.00,Anesthetics,2025-01-22
1456790,LIDOCAINE 2% PLAIN NO EPI 50/BOX,SEPTODONT,0010021,4,46.50,186.00,Anesthetics,2025-02-22
1456791,ARTICAINE 4% W/ EPI 1:100000 50/BOX,SEPTODONT,1000411,8,63.00,504.00,Anesthetics,2025-01-22
1456792,MEPIVACAINE HCL 3% PLAIN 50/BOX,SEPTODONT,0030031,6,48.00,288.00,Anesthetics,2025-02-22
2345001,COTTON ROLLS #2 MED NON-STERILE 2000/CS,PATTERSON DENTAL,007-1234,6,26.00,156.00,Consumables,2025-01-25
2345002,COTTON ROLLS #1 SMALL 2000 PER CASE,PATTERSON DENTAL,007-1235,3,24.50,73.50,Consumables,2025-01-25
3456001,GAUZE SPONGE 2X2 NON-STERILE 8PLY 200/PK,MEDLINE INDUSTRIES,G21088H,18,6.75,121.50,Consumables,2025-01-28
3456002,GAUZE 4X4 NON-STERILE 8 PLY 200 PER PKG,MEDLINE,G44088H,12,10.50,126.00,Consumables,2025-01-28
4567001,DENTAL NEEDLE 27 GAUGE SHORT 100/BOX,SEPTODONT,NDL-27S-100,10,22.50,225.00,Needles,2025-02-01
4567002,NEEDLES 30G SHORT 100 PER BOX,SEPTODONT,NDL-30S-100,8,22.50,180.00,Needles,2025-02-01
5678001,FG CARBIDE BUR #330 PACK OF 10,SS WHITE BURS,330-10PK,12,17.00,204.00,Burs,2025-02-05
5678002,CARBIDE BUR 557 FG 10PK,SS WHITE BURS,557-10PK,8,17.00,136.00,Burs,2025-02-05
5678003,CARBIDE BUR #245 FG 10/PK,SS WHITE BURS,245-10PK,6,17.00,102.00,Burs,2025-02-05
6789001,VPS HEAVY BODY IMPRESSION MATERIAL 50ML,DENTSPLY SIRONA,PVSHB-50,6,27.00,162.00,Impression,2025-02-10
6789002,POLYVINYL SILOXANE LIGHT BODY 50ML CART,DENTSPLY SIRONA,PVSLB-50,6,25.00,150.00,Impression,2025-02-10
7890001,COMPOSITE RESIN A2 SHADE SYRINGE 4G,3M ESPE,4630A2,12,35.00,420.00,Composites,2025-02-15
7890002,FILTEK COMPOSITE A3 4G SYR,3M ESPE,4630A3,10,35.00,350.00,Composites,2025-02-15
7890003,3M COMPOSITE RESIN B2 4 GRAM,3M ESPE,4630B2,6,35.00,210.00,Composites,2025-02-15
8901001,SUTURE 3-0 SILK 18IN 12/BOX,ETHICON,683G,6,38.00,228.00,Sutures,2025-03-01
8901002,CHROMIC GUT 4-0 18IN SUTURE 12/BOX,ETHICON,690G,4,42.00,168.00,Sutures,2025-03-01
9012001,PROPHY PASTE MED GRIT BUBBLEGUM 200/BX,YOUNG INNOVATIONS,3040-200,6,36.00,216.00,Preventive,2025-03-05
9012002,PROPHY CUPS SOFT SNAP-ON 100/BAG,YOUNG INNOVATIONS,YDC-100,12,9.00,108.00,Preventive,2025-03-05
9012003,WAXED FLOSS UNFLAVORED 200M ROLL,SUNSTAR GUM,890,6,7.50,45.00,Preventive,2025-03-05
1234501,BARRIER FILM ROLL 1200 SHEETS REFILL,CROSSTEX,BFDRL,6,26.50,159.00,Infection Control,2025-03-10
1234502,SURFACE DISINFECTANT WIPES 160CT CANISTER,PDI HEALTHCARE,Q55172,12,17.00,204.00,Infection Control,2025-03-10
1234503,SALIVA EJECTORS WHITE 100/BAG,PATTERSON,PAT-SE-100,12,9.50,114.00,Evacuation,2025-03-15
1234504,HVE TIPS VENTED 100/BAG,PATTERSON,PAT-HVE-100,10,10.25,102.50,Evacuation,2025-03-15
1234505,PERIAPICAL XRAY FILM SIZE 2 D-SPEED 150/BOX,CARESTREAM/KODAK,1500638,4,48.50,194.00,Radiology,2025-04-01
HS-UNKN01,CEREC BLOCS C14 A2,DENTSPLY SIRONA,CER-BLC-C14-A2,6,44.00,264.00,Milling,Not in SC catalog
HS-UNKN02,DENTSPLY XENO IV ADHESIVE 4.5ML,DENTSPLY SIRONA,620696,8,28.00,224.00,Bonding,Not in SC catalog
HS-UNKN03,CAVITRON THINSERT TIP FSI-1000,DENTSPLY SIRONA,30K-FSI-1,3,32.00,96.00,Equipment Parts,Not in SC catalog
