Patterson Dental - Order History Export (Raw)
Practice:Harbor View Dental Group
Generated: 12/30/2025
Period: 01/01/2025 - 12/31/2025
Items: 25
,,,,,,
Order Number,Product Code, Product Description ,Qty,Pack/UOM,Unit Cost,Total,
PTN-1001,PT-NIT-MED, "GLOVES,NITRILE EXAM,POWDER FREE,MED",55,100/BX,$13.45,$739.75,
PTN-1002,PT-NIT-LG,"Gloves Nitrile Exam Lg PF",40,100/BX,$13.45,$538.00,
PTN-1003 ,PT-MSK-L3,Mask Earloop Level 3 Blue 50 ct,72,Box of 50,$12.25,$882.00,
PTN-1004,PT-MSK-L2,FACE MASK LVL 2 BLUE EARLOOP,24,50/box,$11.00,$264.00,
PTN-1005,PT-LIDO,"Lidocaine 2%/Epinephrine 1:100k, 50 carpules/box",28,50/BX,$54.00,$1512.00,
PTN-1006,PT-SEPT,Septocaine 4% Epi 1:100k 50/Bx,20,50/BX,$66.00,$1320.00,
PTN-1007,PT-COTROL2,"Cotton Rolls #2 NS, 2000 per case",14,2000/CS,$26.25,$367.50,
PTN-1008,PT-GAUZE22,Gauze 2x2 NS 8ply 200/bg,40,200/BG,$6.75,$270.00,
PTN-1009,PT-GAUZE44,"Gauze, 4x4 Non-Ster 8-ply, 200/bag",26,200/BG,$10.75,$279.50,
,,,,,,
PTN-1010,PT-NDL27S,Dental Needles 27 ga short 100ct,16,100/BX,$22.75,$364.00,
PTN-1011,PT-NDL30S,Needle 30G Short 100/Box,12,100/BX,$22.75,$273.00,
PTN-1012,PT-BUR330,FG Carbide #330 Pack/10,28,10/PK,$17.50,$490.00,
PTN-1013,PT-BUR557,Carbide Bur 557 FG 10pk,20,10/PK,$17.50,$350.00,
PTN-1014,PT-COMPA2,Composite A2 4g syr,24,4g/EA,$34.50,$828.00,
PTN-1015,PT-COMPA3,"Composite Resin, A3 Shade, 4g, syringe",18,4g/EA,$34.50,$621.00,
PTN-1016,PT-VPSHD,VPS Heavy Body 50ml,14,50ml/EA,$27.50,$385.00,
PTN-1017,PT-PROPMED,Prophy Paste Med Grit Bubblegum 200/bx,12,200/BX,$36.50,$438.00,
PTN-1018,PT-PROPCUP,"Prophy Cup, Soft, Snap-On, 100/bag",24,100/BG,$8.75,$210.00,
PTN-1019,PT-BARRIER,Barrier Film Refill Roll,12,1200/RL,$26.75,$321.00,
PTN-1020,PT-DISIWIP,Surface Disinfectant Wipe 160ct,28,160/EA,$17.50,$490.00,
PTN-1021,PT-XRAY2,X-Ray Film PA Size 2 Dspeed 150/bx,6,150/BX,$48.50,$291.00,
PTN-1022,PT-UNKN1,"Air Polisher Powder, Sodium Bicarb, 1lb",6,1lb/EA,$48.00,$288.00,
PTN-1023,PT-UNKN2,Dycal Calcium Hydroxide Liner,8,EA,$36.00,$288.00,
PTN-1024,PT-UNKN3,Articulating Paper Blue 144/Bx,8,144/BX,$13.00,$104.00,
PTN-1025,PT-SALEJ,Saliva Ejectors White 100ct,30,100/BG,$9.25,$277.50,
,,,,,,
TOTAL,,,,,,$11491.25,
